Attained_Age,Predicted_Deaths,qx_Smooth,qx_Smooth_CI_Lo,qx_Smooth_CI_Hi,Median_Log_Exposure
1.0,23.865258839258974,4.133353643759699e-05,3.014766764932514e-05,5.6669764782828974e-05,13.26626016360338
2.0,30.46133036267694,5.275763053582207e-05,4.35769907647448e-05,6.387241365014448e-05,13.26626016360338
3.0,34.61320411002205,5.994848591166598e-05,5.140492893631779e-05,6.991199166043717e-05,13.26626016360338
4.0,36.12972620604613,6.257503279878026e-05,5.358475122285582e-05,7.307367563364305e-05,13.26626016360338
5.0,35.74680074096103,6.191182341267706e-05,5.3150302378041034e-05,7.211763069604166e-05,13.26626016360338
6.0,34.5922683971633,5.991222621483542e-05,5.217231991136867e-05,6.880036878014014e-05,13.26626016360338
7.0,33.7839144956098,5.851219424076894e-05,5.19127273587248e-05,6.595062615784658e-05,13.26626016360338
8.0,34.35972450051579,5.950947082507996e-05,5.3456542556797156e-05,6.624777713819329e-05,13.26626016360338
9.0,37.545653816066746,6.502735463848774e-05,5.85875625307749e-05,7.217499190307628e-05,13.26626016360338
10.0,44.74660867975702,7.749907900772885e-05,6.992623349602074e-05,8.589204575687585e-05,13.26626016360338
11.0,57.21314665767842,9.90905524223579e-05,8.990836011635909e-05,0.0001092105068612132,13.26626016360338
12.0,76.92019591793675,0.00013322226011355757,0.0001221432998468243,0.00014530613314051418,13.26626016360338
13.0,106.57794806363607,0.00018458812994250374,0.00017155521469260565,0.00019861114555289148,13.26626016360338
14.0,149.1593006153767,0.0002583370844002793,0.0002434485402900431,0.00027413616486229793,13.26626016360338
15.0,206.66309014031776,0.0003579310169713815,0.00034089044012197727,0.00037582342545107884,13.26626016360338
16.0,277.8297076874818,0.0004811883425817486,0.0004605969576274781,0.0005027002831917033,13.26626016360338
17.0,355.40864385959003,0.0006155515106771596,0.0005900842782360125,0.0006421178741274402,13.26626016360338
18.0,430.07773630465266,0.0007448749625671172,0.0007153099040162689,0.0007756619987282396,13.26626016360338
19.0,496.1094608208512,0.0008592388883770418,0.000827850887841236,0.0008918169662469491,13.26626016360338
20.0,550.0704364264594,0.0009526968293290011,0.0009217879168912996,0.0009846421633237386,13.26626016360338
21.0,591.109611949126,0.0010237748037293722,0.0009942066312778508,0.001054222347525459,13.26626016360338
22.0,620.7623015016256,0.0010751319053785178,0.0010457129409284704,0.0011053785113690293,13.26626016360338
23.0,642.3754256913721,0.001112564847641755,0.0010812782695249104,0.001144756696860267,13.26626016360338
24.0,660.4766180115379,0.0011439152845831193,0.0011100166067295057,0.0011788491905164358,13.26626016360338
25.0,679.9166972543806,0.0011775846124184406,0.001142316289474446,0.0012139418234530133,13.26626016360338
26.0,702.3031706821433,0.0012163569601800147,0.0011816150637193772,0.0012521203393609911,13.26626016360338
27.0,727.4074052700215,0.0012598363459291897,0.0012268758598134874,0.0012936823280274672,13.26626016360338
28.0,754.9502482628601,0.001307539289865701,0.0012763390823125004,0.0013395021889049284,13.26626016360338
29.0,784.6027588287303,0.0013588960815181935,0.0013279465068037318,0.0013905669775886723,13.26626016360338
30.0,815.9725947567872,0.0014132272021277381,0.0013803080761285913,0.001446931420147492,13.26626016360338
31.0,848.5919684063117,0.0014697224649026076,0.001433450404135566,0.001506912354698468,13.26626016360338
32.0,881.9078788269437,0.0015274240974974154,0.0014882664827655379,0.0015676119838972007,13.26626016360338
33.0,915.447646863562,0.001585513441241284,0.0015455812594692589,0.0016264773249256511,13.26626016360338
34.0,949.3830378172723,0.001644287985777204,0.001605614765946045,0.001683892697996095,13.26626016360338
35.0,984.1027239626159,0.0017044208937023312,0.0016679293689335648,0.0017417107924338994,13.26626016360338
36.0,1020.0553902760722,0.0017666892668679061,0.0017316883808027957,0.0018023975908525198,13.26626016360338
37.0,1057.7542446848695,0.0018319819579238423,0.0017963393019516172,0.0018683318293555152,13.26626016360338
38.0,1097.783866608599,0.0019013114316794716,0.0018627334234672592,0.0019406884069896446,13.26626016360338
39.0,1140.8099533584611,0.0019758306454211254,0.0019333921698454289,0.002019200656893822,13.26626016360338
40.0,1187.5922604339428,0.0020568554609139422,0.0020116499928998013,0.0021030767787755173,13.26626016360338
41.0,1238.9555547918137,0.0021458143367927007,0.0021002443683507794,0.0021923730578079373,13.26626016360338
42.0,1295.7555601612078,0.002244189347405594,0.0022001989638579388,0.002289059266793624,13.26626016360338
43.0,1358.971701426264,0.0023536768118417694,0.00231189396900684,0.002396214795690418,13.26626016360338
44.0,1429.745428354866,0.002476253668876132,0.002435494311235145,0.002517695157133332,13.26626016360338
45.0,1509.4161198186016,0.0026142396614356462,0.002571805823905343,0.002657373641469248,13.26626016360338
46.0,1599.5661596687432,0.0027703754059542397,0.0027235753410722848,0.0028179796512970492,13.26626016360338
47.0,1702.0776974839584,0.002947920699390951,0.002895768344833304,0.0030010123100499223,13.26626016360338
48.0,1819.1449058369392,0.0031506757482549397,0.0030946316716009893,0.0032077347885172626,13.26626016360338
49.0,1951.9382861565582,0.003380667807468787,0.00332353101679145,0.0034387868705643477,13.26626016360338
50.0,2100.1447246097077,0.0036373545781989867,0.0035813813187829317,0.0036942026413543765,13.26626016360338
51.0,2262.955398362187,0.003919335216301581,0.0038651539354325683,0.00397427600409985,13.26626016360338
52.0,2438.965575525708,0.004224176790414681,0.0041699910150429205,0.00427906666760394,13.26626016360338
53.0,2626.0169724525645,0.004548141252005231,0.00449022801496298,0.004606801431744721,13.26626016360338
54.0,2821.0503984470956,0.004885930222750986,0.004821027718141668,0.004951706469506344,13.26626016360338
55.0,3019.985763035896,0.005230477172622373,0.0051582608133722155,0.0053037045708122154,13.26626016360338
56.0,3217.9783849426526,0.005573391335300376,0.005497208642099231,0.005650629801189303,13.26626016360338
57.0,3412.191321815152,0.005909759256425401,0.005834005389345435,0.005986496778472169,13.26626016360338
58.0,3601.1517798167342,0.006237030124454919,0.00616446623468495,0.006310448186816331,13.26626016360338
59.0,3783.508299404002,0.0065528632732911015,0.006483170268935821,0.006623305465875996,13.26626016360338
60.0,3958.043658649127,0.00685515053024471,0.0067846858874062,0.006926347007389592,13.26626016360338
