Attained_Age,Deaths,Expected,Exposure,qx_Crude,AE_Ratio
1,26,22.772794321133343,171625.39428453753,0.00015149273281140805,1.1417132053869992
2,27,27.92594958701617,278713.51720856363,9.687366536943264e-05,0.9668426821393863
3,36,30.798916512651996,361883.0452235511,9.947965364821448e-05,1.168872287608281
4,31,33.39186829550133,430202.20828448795,7.205913731502755e-05,0.9283697373763428
5,36,39.15625477070696,488808.9728897095,7.364840253888448e-05,0.9193933436895458
6,38,41.92085785399609,540937.6050315334,7.024839768310216e-05,0.9064699995488681
7,30,44.049035573164254,586810.5247019127,5.112382743175809e-05,0.68105917892733
8,37,47.125623916908786,627811.3805531559,5.893489851585649e-05,0.7851354937016402
9,46,50.00026568319702,666083.8493800545,6.906037437000412e-05,0.9199951114551509
10,58,54.269609822637655,699203.3820979898,8.295154383545529e-05,1.068738105719829
11,53,60.09184703098525,727428.6913187185,7.285937526593706e-05,0.8819832076832574
12,82,68.05072252125092,752214.7022676552,0.00010901142951978959,1.204983532311402
13,95,84.65299547550634,778276.0391882381,0.00012206465985910017,1.1222284511773417
14,130,130.81730549661086,806360.0767099918,0.00016121829906362619,0.993752313629239
15,188,207.23800662968176,834919.3926690652,0.00022517143768693975,0.9071695055238657
16,261,302.5603746674523,873291.8423257978,0.00029886916074343576,0.8626377472161323
17,380,403.1150959702901,910102.1998720774,0.0004175355251898218,0.9426588182845087
18,474,443.2361803264402,864370.1181265537,0.0005483761991071063,1.0694072845111662
19,516,459.42806504204634,827969.2757307868,0.0006232115310614215,1.1231355662888731
20,495,460.67355757917767,805159.830348538,0.0006147847686163432,1.074513593967074
21,602,464.4399393401549,790958.0160674558,0.0007611023439563438,1.2961848217775611
22,606,469.27067748610006,780929.3808963848,0.0007759984639128403,1.2913655787026026
23,672,478.6790073492225,774225.4360691207,0.000867964250066315,1.4038635279230853
24,669,478.8655980295073,765706.661339693,0.0008737027294884787,1.3970517045970314
25,669,472.9681855387736,756553.1533374584,0.0008842736257839565,1.4144714601425468
26,676,466.7511650895032,755819.5757016225,0.0008943933469472175,1.4483091860528547
27,762,463.1867131074312,757656.6193752214,0.0010057326505354895,1.6451249106173351
28,740,459.0171926865621,756613.9122931934,0.0009780417568019085,1.612140050068464
29,779,463.3777630907648,753949.4832310134,0.0010332257231102989,1.681133757485493
30,844,475.0692314188892,747031.623998767,0.0011298049143919416,1.7765831676347998
31,814,496.8670377685528,739875.9427673393,0.0011001844403203819,1.6382652462833969
32,857,531.2077430395458,736716.4969647059,0.0011632697293068172,1.6133047969073007
33,907,569.6562705267039,729750.4313707417,0.0012428906664656819,1.5921882140635233
