Insurance_Plan,Death_Count,ExpDth_VBT2015_Cnt,Death_Claim_Amount,ExpDth_VBT2015_Amt,Policies_Exposed,Predicted_Deaths,Actual_to_Predicted,Actual_to_VBT,Predicted_to_VBT,Amount_AE_to_VBT,Actual_Rate_per_1000,Expected_Rate_per_1000,Predicted_Rate_per_1000,Gap_from_1_on_A/P,Flag
Perm,123675,94612.0315730711,1439084482,1228467732.3156922,51153946.7376099,121323.13680580648,1.0193851169374064,1.3071804710639037,1.2823224994603966,1.171446708890994,2.417702012991902,1.8495548751766113,2.371725830425634,0.01938511693740641,OK
Term,3288,4478.967231324335,38963276,35158137.85650466,2763601.9485639725,5891.992369343918,0.5580455292351514,0.7340978020568836,1.3154801241092762,1.1082292287215476,1.1897516578711764,1.6206991146650855,2.1319974725034205,0.4419544707648486,Review
UL,5928,4121.079425879313,321203416,237418830.01462114,7282680.235007566,5538.345459112431,1.070355766675128,1.438458080369355,1.343906507681714,1.352897813455736,0.8139860338099605,0.5658740041982677,0.7604817567699617,0.070355766675128,OK
ULSG,259,232.06344764674523,19776097,26832102.197121114,1313508.9445794455,306.1462446508541,0.8460009048792277,1.11607408502462,1.3192350960711408,0.7370312193474662,0.19718175583716765,0.17667443271278707,0.23307511221316796,0.15399909512077226,Review
VL,794,627.3377052177945,74215813,63022333.134814836,1072173.577081397,860.9451686171798,0.922242239044439,1.2656659936044254,1.3723791212554062,1.1776113213904746,0.7405517324549039,0.5851083431150145,0.8029904737633903,0.07775776095556097,OK
VLSG,204,185.47056892363995,31673636,29854474.392943427,554982.5481954464,227.4339524688678,0.8969637021452391,1.0999049670462206,1.2262535980169695,1.0609343036193783,0.3675791259802966,0.3341917138236271,0.40980379150368007,0.10303629785476087,Review
