Issue_Age_Band,0-1,2-5,6-10,11-15,16-20,21-26+
0,0.0,119.85456194520422,103.27104137026097,152.41695796648352,638.1595847005733,28625.114062434295
1-5,58.32647816753741,152.08200927281257,158.14929807599316,421.556319578918,901.0170071249845,24107.968740695815
6-10,29.750845936097413,101.83830312581252,287.68931907652615,531.33527990131,561.5161781524953,14483.02349513893
11-15,43.431150597146164,281.70768352874006,508.599753066723,504.441607535331,521.6622895332387,17922.16046907538
16-17,56.44068738656272,232.8828402205011,260.4136696541319,253.8819668216334,302.605767416392,11935.6525845631
