Age_Ind,Death_Count,ExpDth_VBT2015_Cnt,Death_Claim_Amount,ExpDth_VBT2015_Amt,Policies_Exposed,Predicted_Deaths,Actual_to_Predicted,Actual_to_VBT,Predicted_to_VBT,Amount_AE_to_VBT,Actual_Rate_per_1000,Expected_Rate_per_1000,Predicted_Rate_per_1000,Gap_from_1_on_A/P,Flag
ALB,65976,45856.4514527922,956783476,733108066.8388839,35286552.44899997,59750.97235426463,1.1041828676666057,1.4387506645148993,1.3030003513415427,1.3051056444182787,1.8697207695581997,1.2995446783606592,1.6933071724879711,0.10418286766660567,Review
ANB,68172,58400.49849927073,968133244,887645543.0728135,28854341.54203775,74397.0276457351,0.9163269307561919,1.1673188029525345,1.2739108322279837,1.0906754971681123,2.3626253921157945,2.023976129006005,2.5783651149116134,0.08367306924380813,OK
