Model_Key,Model_Type,Feature_Count,Parameter_Count,Likelihood_Criteria_Comparable,Train_Deviance,Scored_Deviance,Train_A/P,Scored_A/P,Train_Weighted_AE_Error,Scored_Weighted_AE_Error,Train_Deviance_Explained_vs_Intercept,AIC,BIC,Train_Null_Deviance,Train_Deviance_Gap_Scored_minus_Train
random_forest_log_ratio,log_ratio_model,7,15,No,267166.5953258955,267166.5953258955,1.0229641152990878,1.0229641152990878,0.49108969227831056,0.49108969227831056,-4.068069687616453,,,,0.0
extratrees_log_ratio,log_ratio_model,7,15,No,268411.35895422153,268411.35895422153,1.0236862270419562,1.0236862270419562,0.49079264212641954,0.49079264212641965,-4.091682478000188,,,,0.0
hist_gradient_boosting_log_ratio,log_ratio_model,7,15,No,274591.18094089616,274591.18094089616,1.0254243675244286,1.0254243675244286,0.4928059351452765,0.4928059351452765,-4.208911836136548,,,,0.0
gradient_boosting_log_ratio,log_ratio_model,7,15,No,277682.0705528228,277682.0705528228,1.031919224993171,1.031919224993171,0.49832456404206094,0.49832456404206094,-4.267545079304039,,,,0.0
poisson_glm_factor_spline,statsmodels_glm,7,28,Yes,279678.9051115492,279678.9051115492,1.0000000000000024,1.0000000000000024,0.5212857302065288,0.5212857302065288,-2.5207799155520676,134675.7229913578,134958.1067963374,79436.63387652983,0.0
poisson_regressor,poisson_regressor,7,16,No,280986.8171102309,280986.8171102309,1.0000666644551648,1.0000666644551648,0.5250098797540782,0.5250098797540782,-4.330235124189421,,,,0.0
