Face_Amount_Band,Death_Count,ExpDth_VBT2015_Cnt,Death_Claim_Amount,ExpDth_VBT2015_Amt,Policies_Exposed,Predicted_Deaths,Actual_to_Predicted,Actual_to_VBT,Predicted_to_VBT,Amount_AE_to_VBT,Actual_Rate_per_1000,Expected_Rate_per_1000,Predicted_Rate_per_1000,Gap_from_1_on_A/P,Flag
"01: 0 - 9,999",87373,68741.01576511194,319110202,240153911.26021886,19176056.806404833,86612.41739081689,1.0087814499594345,1.2710461000249627,1.2599816343530845,1.3287737031866536,4.556359051398788,3.5847315461723253,4.516695912263266,0.008781449959434529,OK
"02: 10,000 - 24,999",27101,19471.561046541072,396755667,292318719.4742635,13461362.994832395,26101.978818748143,1.038273771815886,1.3918247199196296,1.3405180384027247,1.3572708162979328,2.0132433848194755,1.4464776749587616,1.9390294154290528,0.03827377181588609,OK
"03: 25,000 - 49,999",10855,8448.464273546395,341443635,271004315.9581199,14684214.62272295,11277.473700146633,0.962538267755735,1.2848488966200502,1.334854872436208,1.2599195470110724,0.7392291844606066,0.5753432846502324,0.7679997868388148,0.03746173224426497,OK
"04: 50,000 - 99,999",5832,4654.715108357302,348183118,282887574.18771267,9062864.415726494,6237.039881340726,0.9350589560037159,1.2529230821299768,1.3399401974446175,1.2308179989869752,0.6435051582455454,0.5136030834004452,0.6881974169797568,0.06494104399628409,OK
"05: 100,000 - 249,999",2509,2383.0237694431707,320078651,305991385.0506646,5777683.521778843,3191.566832340361,0.786134250605732,1.052864026021136,1.3392929072990818,1.0460381129586471,0.43425708426956633,0.4124531502046483,0.5523955786622483,0.21386574939426795,Review
"06: 250,000 - 499,999",355,406.93456557567583,109637199,121977787.55124407,1380275.4069788535,530.2620543830344,0.6694803014201088,0.8723761263627093,1.3030646674924053,0.8988292147366612,0.2571950483251918,0.29482128241810385,0.384171196343831,0.33051969857989116,Review
"07: 500,000 - 999,999",84,109.45494862792397,50708248,64639441.57001689,435356.9497188559,142.54049229893164,0.589306229024646,0.7674390336205417,1.3022754483534327,0.7844784355860076,0.19294512251210272,0.2514142675306036,0.3274106279708667,0.410693770975354,Review
"08: 1,000,000+",39,41.78047485945698,39000000,41780474.85945698,163079.27287449906,54.720829925005866,0.7127084887683348,0.9334503767893959,1.3097225464544917,0.9334503767893959,0.23914749748739214,0.2561973334993343,0.3355474240255988,0.2872915112316652,Review
