Sex,Death_Count,ExpDth_VBT2015_Cnt,Death_Claim_Amount,ExpDth_VBT2015_Amt,Policies_Exposed,Predicted_Deaths,Actual_to_Predicted,Actual_to_VBT,Predicted_to_VBT,Amount_AE_to_VBT,Actual_Rate_per_1000,Expected_Rate_per_1000,Predicted_Rate_per_1000,Gap_from_1_on_A/P,Flag
F,36591,31329.016132779358,509344987,460667707.3129751,29130571.706273846,36591.0,1.0,1.16795879720318,1.16795879720318,1.1056667939043399,1.2561030510815345,1.0754686330454692,1.2561030510815345,0.0,OK
M,97557,72927.93381928357,1415571733,1160085902.5987222,35010322.28476388,97556.99999999972,1.0000000000000029,1.3377178659928526,1.3377178659928488,1.2202300966066055,2.7865210496064403,2.0830409165076733,2.7865210496064323,2.886579864025407e-15,OK
