Age_Ind,Death_Count,ExpDth_VBT2015_Cnt,Death_Claim_Amount,ExpDth_VBT2015_Amt,Policies_Exposed,Predicted_Deaths,Actual_to_Predicted,Actual_to_VBT,Predicted_to_VBT,Amount_AE_to_VBT,Actual_Rate_per_1000,Expected_Rate_per_1000,Predicted_Rate_per_1000,Gap_from_1_on_A/P,Flag,Segment_Type,Sex,Insurance_Plan,Insurance_Plan_Group,Face_Amount_Band,Face_Band_Group,Issue_Age_Band,Attained_Age_Band,Duration_Band
,1557,1318.1230812436352,97711739,97442591.98447773,5749768.024881439,1141.6548219748363,1.3638097698450562,1.1812250480668216,0.866121561954364,1.0027621085404332,0.2707935334542658,0.22924804540628663,0.19855667516227793,0.3638097698450562,Review,Duration_Band,,,,,,,,6-10
,278,243.5497756400795,24228933,28210647.813859135,903912.1197149027,206.1005025687607,1.3488564876606823,1.1414504458868047,0.8462356494770016,0.8588577320119879,0.30755202185770253,0.26943966158667726,0.22800944701766537,0.34885648766068234,Review,Insurance_Plan,,ULSG,,,,,,
,603,550.2994383134745,30189357,38073506.82628618,5163373.691370121,450.502869560666,1.3385042376934255,1.095767064287834,0.818650425923277,0.7929229408192334,0.11678410977842504,0.10657749587894934,0.08724971239513817,0.3385042376934255,Review,Attained_Age_Band,,,,,,,"[10, 15)",
,5942,4134.139727668134,321359340,237961942.57443544,6965359.49137622,4464.181380926959,1.331039107278876,1.4373002344919754,1.0798332119860365,1.3504652740825458,0.8530787258513739,0.5935285512236078,0.6409118418732073,0.3310391072788761,Review,Insurance_Plan,,UL,,,,,,
,6587,5443.425811926657,406381546,345888774.88059306,8276023.277180193,4978.213045829961,1.3231655494369916,1.210083544367914,0.9145367674383648,1.174890818993158,0.7959136628050087,0.6577344733836155,0.6015223591210268,0.3231655494369916,Review,Face_Amount_Band,,,,"04: 50,000 - 99,999",,,,
,7219,5192.2425092149315,451509552,359316214.9011698,9418707.876284305,5464.801803353145,1.3209994176861999,1.390343379991994,1.0524935600859338,1.256579951795908,0.7664533282932549,0.5512690888618237,0.5802071659015099,0.3209994176861999,Review,Insurance_Plan_Group,,,UL/VL Family,,,,,
,263,234.74409066150707,20688043,20072411.26486323,2454406.9308942384,200.06971882298186,1.3145417584791916,1.1203689910100314,0.8522886274120337,1.0306705421193931,0.10715419545534717,0.09564187898376755,0.08151448576218306,0.31454175847919164,Review,Attained_Age_Band,,,,,,,"[0, 5)",
,2357,1863.632131803676,115366872,113518581.50400145,5339802.510840914,1797.683439633787,1.3111318422559166,1.2647345791998277,0.9646128165293748,1.016281832203245,0.44140209215880133,0.34900768858400916,0.336657289475428,0.3111318422559166,Review,Duration_Band,,,,,,,,11-15
,9270,8042.620376797667,754371707,685057245.9663571,13309698.694979753,7270.213741420123,1.2750656761556571,1.1526094190325367,0.9039608238123639,1.1011805384758266,0.6964845871001215,0.6042676518162834,0.5462342843390102,0.27506567615565714,Review,Face_Band_Group,,,,,04-05: 50k-249k,,,
,3830,2924.9608269276837,168990450,149889211.48184785,5243327.44977277,3029.8717555009616,1.264079904717533,1.3094192458033533,1.0358674644827548,1.1274357128796115,0.7304521864576626,0.557844394603744,0.5778528586140976,0.26407990471753306,Review,Duration_Band,,,,,,,,16-20
