Observation_Year,Death_Count,ExpDth_VBT2015_Cnt,Death_Claim_Amount,ExpDth_VBT2015_Amt,Policies_Exposed,Predicted_Deaths,Actual_to_Predicted,Actual_to_VBT,Predicted_to_VBT,Amount_AE_to_VBT,Actual_Rate_per_1000,Expected_Rate_per_1000,Predicted_Rate_per_1000,Gap_from_1_on_A/P,Flag
2012,16321,11809.14351300734,166115611,141876216.165077,5874008.343430234,15368.357019526862,1.061987301522389,1.3820646672659211,1.3013947203367608,1.1708488955380638,2.778511545400539,2.0104063226629973,2.616332174045267,0.06198730152238907,OK
2013,16073,12643.42323640344,199754118,177404467.28510237,7512805.943703367,16336.66257498443,0.9838606830633716,1.2712538131067217,1.2921075463128744,1.1259813298781256,2.139413705137839,1.6829162540794953,2.174508791708711,0.0161393169366284,OK
2014,16862,12789.549435664683,227221515,185999939.40650648,7398740.024847874,16431.194249443404,1.026218772903326,1.318420174598095,1.2847359738587587,1.2216214463565118,2.2790366931897568,1.7286118167028919,2.2208097857555478,0.026218772903326082,OK
2015,16469,12638.178124320806,240334245,196901594.1694207,7433028.6039037965,16206.903685882478,1.016171893114033,1.3031150406328893,1.2823765835911147,1.2205804935901556,2.21565136872345,1.700273037787489,2.1803903293700064,0.01617189311403311,OK
2016,16103,12483.940604245714,246422947,207002856.58256322,7511841.4052569885,15986.605220635289,1.007280768978674,1.2898971975662448,1.2805736367568377,1.1904325914541862,2.1436821055261746,1.661901513989515,2.1281872657012477,0.007280768978674024,OK
2017,16078,12321.318724336852,252607854,211779934.59175587,7571691.613800004,15730.929828067961,1.0220629152710845,1.3048927927043246,1.2767245276267796,1.1927846445271,2.123435662738374,1.6272874481417439,2.0775977985417557,0.022062915271084504,OK
2018,18459,14892.371660375276,292971950,245571236.94189313,10068994.899066309,19161.750782312673,0.9633253354405721,1.239493642850359,1.2866822840110217,1.1930222514997666,1.8332514997809455,1.4790325955727952,1.9030450381983537,0.036674664559427916,OK
2019,17783,14679.024653708824,299488480,254217364.76937866,10769783.15702915,18925.59663914663,0.9396269158149958,1.211456511554187,1.2892952417219943,1.1780803418825871,1.6511938764889162,1.362982377609731,1.7572866940031566,0.0603730841850042,OK
