Insurance_Plan_Group,01-03: <50k,04-05: 50k-249k,06-07: 250k-999k,08+: 1M+
Perm,310570.33971067565,4845.077100496383,347.9174790545732,28.923148217386604
Term,6734.920075204728,132.96127672636507,7.613953073170236,0.4383938603404116
UL/VL Family,1927.522075946482,3064.5819995749193,187.3358154747695,12.802618218761053
