Insurance_Plan_Group,Death_Count,ExpDth_VBT2015_Cnt,Death_Claim_Amount,ExpDth_VBT2015_Amt,Policies_Exposed,Predicted_Deaths,Actual_to_Predicted,Actual_to_VBT,Predicted_to_VBT,Amount_AE_to_VBT,Actual_Rate_per_1000,Expected_Rate_per_1000,Predicted_Rate_per_1000,Gap_from_1_on_A/P,Flag
Perm,130860,99777.9827207386,1885953444,1585595472.0551927,61377292.042473756,128256.0076306558,1.020303083009125,1.3115117827773148,1.285413917313024,1.189429130719889,2.132058871372876,1.6256498030524242,2.0896328815207625,0.02030308300912509,OK
Term,3288,4478.967231324335,38963276,35158137.85650466,2763601.9485639725,5891.992369343918,0.5580455292351514,0.7340978020568836,1.3154801241092762,1.1082292287215476,1.1897516578711764,1.6206991146650855,2.1319974725034205,0.4419544707648486,Review
