Age_Ind,Sex,Issue_Age_Band,Series_Key,x_col,x_value,Overall_Direction,Credible_Points,ExpDth_VBT2015_Cnt,Predicted_Rate_per_1000,Actual_Rate_per_1000,Expected_Rate_per_1000,Delta_from_Prior,Monotonicity_Flag
ALB,F,0,Age_Ind=ALB | Sex=F | Issue_Age_Band=0,Duration,3,Up,88,8.065922140738904,0.047474114565943845,0.0847173464156641,0.06212032001443206,,OK
ALB,F,0,Age_Ind=ALB | Sex=F | Issue_Age_Band=0,Duration,4,Up,88,6.836304773805053,0.04825575110045008,0.03591678900768758,0.061384529038250854,0.0007816365345062332,OK
ALB,F,0,Age_Ind=ALB | Sex=F | Issue_Age_Band=0,Duration,5,Up,88,6.607849304480125,0.05373693129662688,0.10062175511798707,0.06648933945719604,0.005481180196176799,OK
ALB,F,0,Age_Ind=ALB | Sex=F | Issue_Age_Band=0,Duration,6,Up,88,6.4815486107083435,0.05746256830260309,0.07472947144581375,0.06919467168979757,0.0037256370059762095,OK
ALB,F,0,Age_Ind=ALB | Sex=F | Issue_Age_Band=0,Duration,7,Up,88,6.3998600668220424,0.05969801862912921,0.06562643506705466,0.07000000018558881,0.0022354503265261255,OK
ALB,F,0,Age_Ind=ALB | Sex=F | Issue_Age_Band=0,Duration,8,Up,88,6.339803886830223,0.061272343111730805,0.08833080832468865,0.07000000024296457,0.0015743244826015926,OK
ALB,F,0,Age_Ind=ALB | Sex=F | Issue_Age_Band=0,Duration,9,Up,88,6.361566842771366,0.06285231073683835,0.12103936355308025,0.07000000016812949,0.0015799676251075437,OK
ALB,F,0,Age_Ind=ALB | Sex=F | Issue_Age_Band=0,Duration,10,Up,88,6.431907545936595,0.06443581352850845,0.10883241064227502,0.07000000032525189,0.001583502791670105,OK
ALB,F,0,Age_Ind=ALB | Sex=F | Issue_Age_Band=0,Duration,11,Up,88,7.5894472739491885,0.07545217244069895,0.021081904211242508,0.0800000002228362,0.011016358912190494,OK
ALB,F,0,Age_Ind=ALB | Sex=F | Issue_Age_Band=0,Duration,12,Up,88,7.930362033900506,0.07726232453559372,0.10087811860640553,0.08000000018475506,0.001810152094894768,OK
ALB,F,0,Age_Ind=ALB | Sex=F | Issue_Age_Band=0,Duration,13,Up,88,7.241149298622104,0.06918508729345194,0.15467157900849102,0.06999999974088175,-0.00807723724214178,Review
ALB,F,0,Age_Ind=ALB | Sex=F | Issue_Age_Band=0,Duration,14,Up,88,8.599476560381502,0.08086840508074848,0.07442313403198819,0.07999999958227667,0.011683317787296546,OK
ALB,F,0,Age_Ind=ALB | Sex=F | Issue_Age_Band=0,Duration,15,Up,88,13.389809366682924,0.12398794431051659,0.13443059235542903,0.12000000031263051,0.043119539229768106,OK
ALB,F,0,Age_Ind=ALB | Sex=F | Issue_Age_Band=0,Duration,16,Up,88,21.5158333955178,0.20053636074034814,0.08830706055400937,0.19000000025279673,0.07654841642983155,OK
ALB,F,0,Age_Ind=ALB | Sex=F | Issue_Age_Band=0,Duration,17,Up,88,27.399862351411226,0.25859563982672495,0.192701698857831,0.2400000010721667,0.058059279086376814,OK
ALB,F,0,Age_Ind=ALB | Sex=F | Issue_Age_Band=0,Duration,18,Up,88,31.030113047078938,0.29680442577718485,0.26973798028736207,0.27000000069056757,0.0382087859504599,OK
ALB,F,0,Age_Ind=ALB | Sex=F | Issue_Age_Band=0,Duration,19,Up,88,30.78375792791132,0.3026149408281864,0.289438346912856,0.27000000019455084,0.005810515051001552,OK
ALB,F,0,Age_Ind=ALB | Sex=F | Issue_Age_Band=0,Duration,20,Up,88,30.47572917043271,0.308340675609793,0.42525643918240935,0.270000001427202,0.005725734781606595,OK
ALB,F,0,Age_Ind=ALB | Sex=F | Issue_Age_Band=0,Duration,21,Up,88,30.390094717361418,0.3139704964525464,0.36426342469676504,0.2699999994781741,0.005629820842753375,OK
ALB,F,0,Age_Ind=ALB | Sex=F | Issue_Age_Band=0,Duration,22,Up,88,32.488638068985146,0.34315930939325195,0.3481217031320053,0.290000000436267,0.029188812940705577,OK
ALB,F,0,Age_Ind=ALB | Sex=F | Issue_Age_Band=0,Duration,23,Up,88,35.753496262203946,0.3850634321260537,0.4385585087899593,0.3200000000975417,0.04190412273280175,OK
ALB,F,0,Age_Ind=ALB | Sex=F | Issue_Age_Band=0,Duration,24,Up,88,38.89916858830724,0.42800000009074207,0.4768739410962892,0.3499999967938689,0.042936567964688366,OK
ALB,F,0,Age_Ind=ALB | Sex=F | Issue_Age_Band=0,Duration,25,Up,88,39.41083186294326,0.4470722262396598,0.4932654053745047,0.35999999916705844,0.019072226148917737,OK
ALB,F,0,Age_Ind=ALB | Sex=F | Issue_Age_Band=0,Duration,26,Up,88,37.93559458805304,0.45371203613961764,0.41754980059595326,0.35999999899387436,0.006639809899957827,OK
ALB,F,0,Age_Ind=ALB | Sex=F | Issue_Age_Band=0,Duration,27,Up,88,35.10470616711199,0.4473513179874868,0.34895606397716894,0.3500000026042986,-0.006360718152130851,Review
ALB,F,0,Age_Ind=ALB | Sex=F | Issue_Age_Band=0,Duration,28,Up,88,32.73523269933536,0.4533660225899071,0.5345921982782107,0.35000000019772914,0.006014704602420318,OK
ALB,F,0,Age_Ind=ALB | Sex=F | Issue_Age_Band=0,Duration,29,Up,88,31.548005438810147,0.4722567436409812,0.6276149535259987,0.3599999994057597,0.01889072105107409,OK
ALB,F,0,Age_Ind=ALB | Sex=F | Issue_Age_Band=0,Duration,30,Up,88,31.921663479889954,0.5044819283342014,0.6309194962345687,0.3799999970132377,0.032225184693220166,OK
ALB,F,0,Age_Ind=ALB | Sex=F | Issue_Age_Band=0,Duration,31,Up,88,33.09581037761188,0.5504539006538934,0.607025476036378,0.4100000010057051,0.04597197231969208,OK
ALB,F,0,Age_Ind=ALB | Sex=F | Issue_Age_Band=0,Duration,32,Up,88,34.877443441563166,0.5969674916714401,0.5929333616421909,0.4399999954317327,0.04651359101754671,OK
ALB,F,0,Age_Ind=ALB | Sex=F | Issue_Age_Band=0,Duration,33,Up,88,37.68783264846411,0.6576322712621856,0.8787982164346736,0.4800000016341843,0.060664779590745455,OK
ALB,F,0,Age_Ind=ALB | Sex=F | Issue_Age_Band=0,Duration,34,Up,88,41.03723726224416,0.7189011173227515,0.8616564462704194,0.5200000003550197,0.06126884606056593,OK
ALB,F,0,Age_Ind=ALB | Sex=F | Issue_Age_Band=0,Duration,35,Up,88,46.232639373509755,0.7945876084352856,1.134263592092385,0.5699999957359674,0.07568649111253412,OK
