Issue_Age_Band,Death_Count,ExpDth_VBT2015_Cnt,Death_Claim_Amount,ExpDth_VBT2015_Amt,Policies_Exposed,Predicted_Deaths,Actual_to_Predicted,Actual_to_VBT,Predicted_to_VBT,Amount_AE_to_VBT,Actual_Rate_per_1000,Expected_Rate_per_1000,Predicted_Rate_per_1000,Gap_from_1_on_A/P,Flag
0,35107,29638.816208416818,313766076,268742779.92587394,18041101.86471811,38619.129682178354,0.9090572544984331,1.1844940011480731,1.3029916380807176,1.1675330443725582,1.9459454451979252,1.642849557120436,2.1406192355525384,0.09094274550156689,OK
1-5,31532,25799.09985291606,435626746,375181956.36708987,19804325.45875223,33549.27237960702,0.9398713522969511,1.222213184947069,1.3004047649288415,1.1611079333830463,1.592177429404186,1.3027002563985097,1.6940376206946455,0.06012864770304893,OK
11-15,28141,19782.00295333656,515942306,412809365.5988218,10119355.281159785,25163.185096932855,1.1183401422195203,1.422555646482378,1.2720241300281816,1.2498318812403235,2.7809083897264593,1.9548679143785663,2.4866391581074017,0.11834014221952027,Review
16-17,18298,13041.877516062323,315854358,257316775.39128047,5031131.547743632,16174.014154998484,1.1313208845155556,1.403018850427345,1.240159948985768,1.2274922904645693,3.6369551911649594,2.592235442921654,3.214786574652818,0.13132088451555557,Review
6-10,21070,15995.153421331172,343727234,306702732.62863135,11144979.838663967,20642.39868628301,1.0207147105438446,1.31727401700949,1.2905408371234666,1.1207178724951221,1.890537291678566,1.4351890853890168,1.852170123688404,0.02071471054384455,OK
