Duration_Band,Death_Count,ExpDth_VBT2015_Cnt,Death_Claim_Amount,ExpDth_VBT2015_Amt,Policies_Exposed,Predicted_Deaths,Actual_to_Predicted,Actual_to_VBT,Predicted_to_VBT,Amount_AE_to_VBT,Actual_Rate_per_1000,Expected_Rate_per_1000,Predicted_Rate_per_1000,Gap_from_1_on_A/P,Flag
0-1,168,187.9491620873437,12255658,16617128.730797054,3120568.373569749,337.2205502402152,0.4981902789741821,0.8938587335756627,1.7942115117464696,0.7375316276683949,0.05383634642423097,0.06022914404927484,0.10806382359584528,0.5018097210258179,Review
11-15,2357,1863.632131803676,115366872,113518581.50400145,5339802.510840914,2272.6044808335955,1.037136034834996,1.2647345791998277,1.2194490758399323,1.016281832203245,0.44140209215880133,0.34900768858400916,0.4255971033048009,0.03713603483499606,OK
16-20,3830,2924.9608269276837,168990450,149889211.48184785,5243327.44977277,3653.0505298743306,1.0484388235745967,1.3094192458033533,1.2489228902635994,1.1274357128796115,0.7304521864576626,0.557844394603744,0.6967046336258558,0.04843882357459672,OK
2-5,863,888.3653980930704,56340078,75188419.12535079,7350616.448140156,997.6636188610464,0.8650210187931067,0.9714471115742253,1.1230329558114163,0.7493185606957945,0.11740511916090454,0.12085590431233065,0.13572516344713836,0.13497898120689333,Review
21-26+,125373,97073.91935190752,1474251923,1168097677.0852225,37320542.03727179,125488.18063250204,0.9990821395933744,1.291520944420757,1.2927074694242906,1.2620964427210661,3.359356353259574,2.6010854626645137,3.3624426061973534,0.0009178604066255591,OK
6-10,1557,1318.1230812436352,97711739,97442591.98447773,5766037.171442348,1399.2801876884978,1.112714961377423,1.1812250480668216,1.0615702035718029,1.0027621085404332,0.27002947669352667,0.22860121120480267,0.24267623431544308,0.11271496137742298,Review
